Facility Id,Facility Name,Industry
1005175,AMERICAN GYPSUM CO /GYPSUM WALLBOARD PLT,Minerals
1004845,AMERICAN GYPSUM COMPANY,Minerals
1007404,AMERICAN GYPSUM COMPANY,Minerals
1005590,AMERICAN REFINING GROUP INC,"Petroleum Product Suppliers,Refineries"
1001860,AMERICAN SUGAR REFINING INC - Chalmette Refinery,Other
1006919,AMERICAN SYNTHETIC RUBBER,Other
1001962,AMERICAS STYRENICS LLC - ST JAMES PLANT,Chemicals
1005413,AMGEN INC,Chemicals
1005072,"AMGEN MANUFACTURING, LIMITED",Chemicals
1008730,AMP Fremont Energy Center,Power Plants
1000208,AMP-Ohio Gas Turbines Bowling Green,Power Plants
1006506,AMP-Ohio Gas Turbines Galion,Power Plants
1001344,AMP-Ohio Gas Turbines Napoleon,Power Plants
1004746,ANALOG DEVICES,Other
1006810,ANCHOR ACQUISITION LLC MONACA PLT,Minerals
1004508,ANCHOR HOCKING GLASS CO PLANT NO 1 *,Minerals
1007341,ANCHORAGE REGIONAL LANDFILL,Waste
1002416,ANDECTOR BOOSTER STATION,Petroleum and Natural Gas Systems
1004275,ANDERSON DEVELOPMENT COMPANY,"Chemicals,Industrial Gas Suppliers"
1007839,ANDERSON LANDFILL,Waste
1005392,ANGELINA COUNTY WASTE MANAGEMENT CENTER,Waste
1002576,ANHEUSER BUSCH BALDWINSVILLE BREWERY,"Other,Suppliers of CO2"
1006111,ANHEUSER BUSCH INC,Other
1002867,ANHEUSER BUSCH INC. - L.A. BREWERY,Other
1003352,ANHEUSER BUSCH INCORPORATED FORT COLLINS BREWERY,Other
1002734,ANHEUSER BUSCH LLC,Other
1003176,ANHEUSER BUSCH LLC,Other
1003224,ANHEUSER-BUSCH HOUSTON BREWERY,Other
1002915,ANHEUSER-BUSCH LLC,"Other,Suppliers of CO2"
1006147,ANHEUSER-BUSCH LLC,"Other,Suppliers of CO2"
1006904,"ANHEUSER-BUSCH, INC. CARTERSVI LLE BREWERY",Other
1003525,"ANHEUSER-BUSCH, INC. NEWARK BREWERY",Other
1005490,ANIMAS POWER PLANT,Power Plants
1006178,ANN ARBOR SLF PHASE I & II,Waste
1004929,ANR Pipeline Alden CS,Petroleum and Natural Gas Systems
1004926,ANR Pipeline Birmingham CS,Petroleum and Natural Gas Systems
1005958,ANR Pipeline Blue Lake Complex Gas Storage Facility,Petroleum and Natural Gas Systems
1004928,ANR Pipeline Bridgman CS,Petroleum and Natural Gas Systems
1005235,ANR Pipeline Brownsville CS,Petroleum and Natural Gas Systems
1005245,ANR Pipeline Celestine CS,Petroleum and Natural Gas Systems
1009589,ANR Pipeline Cottage Grove CS,Petroleum and Natural Gas Systems
1007403,ANR Pipeline Defiance CS,Petroleum and Natural Gas Systems
1011138,ANR Pipeline Delhi CS,Petroleum and Natural Gas Systems
1004932,ANR Pipeline E.G. Hill CS,Petroleum and Natural Gas Systems
1004930,ANR Pipeline Enterprise CS,Petroleum and Natural Gas Systems
1013036,ANR Pipeline Eunice CS,Petroleum and Natural Gas Systems
1011576,ANR Pipeline Goodman CS,Petroleum and Natural Gas Systems
1004776,ANR Pipeline Greensburg CS,Petroleum and Natural Gas Systems
1005238,ANR Pipeline Greenville CS,Petroleum and Natural Gas Systems
1004923,ANR Pipeline Hamilton CS,Petroleum and Natural Gas Systems
1004935,ANR Pipeline Havensville CS,Petroleum and Natural Gas Systems
1013314,ANR Pipeline Jena CS,Petroleum and Natural Gas Systems
1013969,ANR Pipeline LaGrange CS,Petroleum and Natural Gas Systems
1005067,ANR Pipeline Lincoln Gas Storage Facility,Petroleum and Natural Gas Systems
1005953,ANR Pipeline Lineville CS,Petroleum and Natural Gas Systems
1005242,ANR Pipeline Madisonville CS,Petroleum and Natural Gas Systems
1005060,ANR Pipeline Maitland CS,Petroleum and Natural Gas Systems
1009733,ANR Pipeline Meade CS,Petroleum and Natural Gas Systems
1014584,ANR Pipeline Mermentau CS,Petroleum and Natural Gas Systems
1009608,ANR Pipeline Mooreland CS,Petroleum and Natural Gas Systems
1004769,ANR Pipeline New Windsor CS,Petroleum and Natural Gas Systems
1005243,ANR Pipeline Patterson CS,Petroleum and Natural Gas Systems
1009590,ANR Pipeline Portland CS,Petroleum and Natural Gas Systems
1004937,ANR Pipeline Sandwich CS,Petroleum and Natural Gas Systems
1005244,ANR Pipeline Sardis CS,Petroleum and Natural Gas Systems
1005236,ANR Pipeline Shelbyville CS,Petroleum and Natural Gas Systems
1004925,ANR Pipeline St. John CS,Petroleum and Natural Gas Systems
1014812,ANR Pipeline Turkey Creek CS,Petroleum and Natural Gas Systems
1011137,ANR Pipeline Woodstock CS,Petroleum and Natural Gas Systems
1004933,ANR Pipeline Woolfolk CS,Petroleum and Natural Gas Systems
1004802,ANSHUTZ RANCH EAST GAS PLANT,Petroleum and Natural Gas Systems
1008332,ANTELOPE RIDGE GAS PLANT,Petroleum and Natural Gas Systems
1007710,ANTELOPE VALLEY RECYCLING AND DISPOSAL FACILITY,Waste
1004003,APACHE JUNCTION LANDFILL,Waste
1001908,APACHE NITROGEN PRODUCTS - PLANT,Chemicals
1006777,"APEX ENVIRONMENTAL, LLC - SANITARY LANDFILL (0641000223)",Waste
1004352,APEX REGIONAL LANDFILL,Waste
1000793,"APG Polytech, LLC",Other
1010353,APPLEBY TREATER,Petroleum and Natural Gas Systems
1005669,APPLETON ROARING SPRING PAPER MFG,Pulp and Paper
1002596,APPVION - APPLETON PLT,Pulp and Paper
1002434,"APPVION, INC. WEST CARROLLTON",Pulp and Paper
1001423,APS Saguaro Power Plant,Power Plants
1001422,APS West Phoenix Power Plant,Power Plants
1007510,"AQUILA, INC. - AIRPORT INDUSTRIAL SITE",Power Plants
1000579,"AQUILA, INC. - PUEBLO POWER PLANT",Power Plants
1005906,AR GLASS CONTAINER CORP,Minerals
1008752,"ARAUCO NORTH AMERICA, INC - BENNETTSVILLE MDF",Other
1005055,ARAUCO-USA LLC,Other
1008034,ARBOR HILLS LANDFILL,Waste
1005385,ARCELORMITTAL TUBULAR PRODUCTS USA LLC,Metals
1002916,ARCHER DANIEL MIDLAND COMPANY,"Other,Waste"
1003215,ARCHER DANIELS MIDLAND,Other
1001945,ARCHER DANIELS MIDLAND,"Other,Suppliers of CO2,Waste"
1005935,ARCHER DANIELS MIDLAND COMPANY,Other
1005940,ARCHER DANIELS MIDLAND PROCESSING,Other
1004649,ARCONIC LAFAYETTE LLC,Metals
1002795,ARCONIC TENNESSEE OPERATIONS,Metals
1003456,ARDEN LDFL,Waste
1006659,ARGOS CEMENT LLC. - ROBERTA PLANT,Minerals
1007566,ARGOS USA -Martinsburg,Minerals
1006199,ARIZONA STATE UNIVERSITY,Other
1006203,ARKALON ETHANOL LLC,"Other,Suppliers of CO2"
1002209,ARKANSAS LIME COMPANY,Minerals
1005801,ARKANSAS STEEL ASSOCIATES,Metals
1006644,ARKEMA BEAUMONT PLANT,Chemicals
1006797,ARKEMA INC CLEAR LAKE,Chemicals
1005721,"ARKEMA, INC.","Chemicals,Industrial Gas Suppliers"
1013817,ARLANXEO Orange Site,Other
1006785,ARMSTRONG CEMENT & SUPPLY,Minerals
1003208,ARMSTRONG WORLD IND MARIETTA CEILING PLT,Other
1002968,ARMSTRONG WORLD INDUSTRIES INC.,Other
1003235,"ARMSTRONG WORLD INDUSTRIES, INC.",Other
1002515,ARTESIA GAS PLANT,"Injection of CO2,Petroleum and Natural Gas Systems,Suppliers of CO2"
1002689,ARVIN SANITARY LANDFILL,Waste
1002494,ASARCO LLC AMARILLO COPPER REFINERY,Metals
1002486,ASARCO LLC Hayden Operations,Metals
1002190,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU FACILITY,Chemicals
1003975,ASCEND PERFORMANCE MATERIALS OPERATIONS LLC,Other
1006137,ASH GROVE CEMENT - INKOM,Minerals
1002665,ASH GROVE CEMENT CO-CHANUTE PLANT,Minerals
1002421,ASH GROVE CEMENT COMPANY,Minerals
1002527,ASH GROVE CEMENT COMPANY-DURKEE,Minerals
1007552,ASH GROVE CEMENT COMPANY-Louisville,Minerals
1002531,ASH GROVE CEMENT COMPANY-MONTANA CITY,Minerals
1002537,ASH GROVE CEMENT COMPANY-SEATTLE,Minerals
1007606,ASH GROVE CEMENT-FOREMAN,Minerals
1002479,ASHLAND #2 CMPSR STA,Petroleum and Natural Gas Systems
1003496,ASHLEY Energy LLC,Power Plants
1004576,ASTORIA ENERGY LLC & ASTORIA ENERGY II LLC,Power Plants
1007800,ATASCOCITA RECYCLING AND DISPOSAL FACILITY,Waste
1006056,ATHENS & CLARKE COUNTIES-DUNLAP ROAD LF,Waste
1005442,ATI LADISH LLC,Other
1006778,"ATI Specialty Materials, Monroe Plant",Metals
1002570,ATK Launch Systems Inc,Other
1007929,"ATLANTIC ALUMINA, GRAMERCY OPERATIONS",Metals
1003772,"ATLANTIC COFFEE INDUSTRIAL SOLUTIONS, LLC",Other
1001858,ATLANTIC COUNTY LANDFILL,Waste
1003826,ATLANTIC WASTE DISPOSAL INC - SUSSEX COUNTY LAND,Waste
1003034,AUBURN SANITARY LANDFILL NO 2,Waste
1005000,AUDUBON METALS LLC,Metals
1006344,AUGUSTA COUNTY SVC AUTHORITY LANDFILL,Waste
1005945,AUSTIN UTILITIES NORTHEAST POWER STATION,Power Plants
1007346,AUSTIN WHITE LIME COMPANY MCNEIL PLANT & QUARRY,Minerals
1006132,AUTUMN HILLS RECYCLING AND DISPOSAL FACILITY,Waste
1005770,AUX SABLE LIQUID PRODUCTS INC,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems"
1003033,AVA LANDFILL,Waste
1003328,AVENAL REGIONAL LANDFILL,Waste
1003082,AVINGER GAS PLANT,Petroleum and Natural Gas Systems
1007682,AZUSA LAND RECLAMATION CO INC INERT LF,Waste
1000378,Abbott Laboratories,Other
1012993,Abbott Nutrition,Other
1003205,Abbott Nutrition - A Division of Abbott Laboratories,Other
1011661,Abengoa Bioenergy Biomass of Kansas,Other
1010630,Aberdeen Generating Station,Power Plants
1012891,Abilene Environmental Landfill,Waste
1007357,Abilene Regional Landfill,Waste
1001347,Acadia Power Station,Power Plants
1008234,Accident Station,Petroleum and Natural Gas Systems
1000125,Ackerman Combined Cycle,Power Plants
1011325,Acme Brick - Denton Plant,Minerals
1012051,Acme Brick - Texas Clay Plants,Minerals
1003446,Ada County Solid Waste Management,Waste
1000603,Addis Carbon Black Plant,Chemicals
1000089,AdvanSix Resins & Chemicals LLC,Chemicals
1010185,Advanced Magnesium Alloys Corporation,Metals
1006553,"Advanced Tri-Gen Power Systems, LLC",Power Plants
1002263,Advancion Corporation,Chemicals
1012089,"Aemetis Advanced Fuels Keyes, Inc.","Other,Suppliers of CO2"
1002316,Aera Energy 25 Hill,Petroleum and Natural Gas Systems
1002156,Aera Energy Alberta Finley Shale,Petroleum and Natural Gas Systems
1006844,Aera Energy Anderson Fitzgerald,Petroleum and Natural Gas Systems
1006845,Aera Energy Belridge,Petroleum and Natural Gas Systems
