Facility Id,Year,Emissions
1011809,2023.0,15540.414
1001630,2023.0,61724.068
1014234,2023.0,1167421.44
1001172,2023.0,2364840.284
1000131,2023.0,75534.632
1006983,2023.0,2104515.048
1013714,2023.0,63811.134
1000550,2023.0,1146396.786
1014817,2023.0,43435.316
1012788,2023.0,9493.836
1000284,2023.0,279019.916
1013587,2023.0,26646.5
1002343,2023.0,41032.706
1013597,2023.0,10575.49
1002488,2023.0,912292.116
1002006,2023.0,58423.56
1012567,2023.0,30438.588
1004302,2023.0,55504.986
1006696,2023.0,37428.67
1011233,2023.0,31387.2
1002901,2023.0,31278.0
1004997,2023.0,15307.648
1004723,2023.0,105608.896
1004427,2023.0,101160.184
1005814,2023.0,105187.384
1001187,2023.0,5584207.896
1008062,2023.0,25777.406
1013406,2023.0,22691.004
1001011,2023.0,5816275.892
1004564,2023.0,78506.732
1001207,2023.0,47720.114
1006864,2023.0,1217538.088
1010544,2023.0,37099.592
1003790,2023.0,129980.904
1014564,2023.0,24808.956
1000244,2023.0,407421.34
1008160,2023.0,32450.142
1003413,2023.0,26621.9
1000742,2023.0,1111182.024
1001298,2023.0,27806.744
1000179,2023.0,40991.156
1002444,2023.0,12436.708
1008964,2023.0,42288.32
1005646,2023.0,15765.812
1002298,2023.0,62294.214
1013951,2023.0,31287.994
1000777,2023.0,2273112.376
1003937,2023.0,66314.148
1000127,2023.0,2638013.468
1001238,2023.0,315226.58
1013632,2023.0,38018.856
1014581,2023.0,38806.804
1001492,2023.0,3002504.012
1007930,2023.0,188863.108
1001016,2023.0,2106119.25
1002251,2023.0,248983.27
1013904,2023.0,47574.786
1006022,2023.0,87265.472
1012997,2023.0,380303.088
1001587,2023.0,640817.524
1007358,2023.0,195598.224
1000604,2023.0,237338.688
1001027,2023.0,1919343.406
1014091,2023.0,152240.94
1003320,2023.0,440814.368
1001892,2023.0,117240.844
1006218,2023.0,48218.0
1000466,2023.0,269842.684
1013620,2023.0,1114142.672
1000689,2023.0,824751.244
1013982,2023.0,108050.0
1006869,2023.0,355806.612
1000489,2023.0,54594.148
1013774,2023.0,117140.8
1005822,2023.0,948824.6
1004551,2023.0,112470.88
1006657,2023.0,1080446.796
1011720,2023.0,37273.738
1014810,2023.0,34070.36
1008245,2023.0,27455.954
1011455,2023.0,80694.25
1000979,2023.0,13003.404
1001687,2023.0,41827.0
1000424,2023.0,48734.81
1013167,2023.0,43207.31
1012023,2023.0,23574.366
1003773,2023.0,65653.8
1000230,2023.0,400763.118
1004446,2023.0,47647.85
1000141,2023.0,269797.034
1014676,2023.0,2786263.424
1001341,2023.0,23397.906
1010152,2023.0,127802.328
1000463,2023.0,195224.276
1001405,2023.0,674910.248
1000811,2023.0,998081.152
1002388,2023.0,42501.354
1000640,2023.0,66124.498
1000637,2023.0,28384.844
1013165,2023.0,31129.868
1013715,2023.0,22917.988
1001149,2023.0,3535786.57
1014061,2023.0,39647.75
1011311,2023.0,38494.714
1013336,2023.0,17807.932
1011034,2023.0,29644.088
1001727,2023.0,38934.754
1011956,2023.0,50274.5
1004808,2023.0,40072.0
1003533,2023.0,193500.624
1000605,2023.0,254319.144
1004701,2023.0,25740.904
1008020,2023.0,1835223.348
1011817,2023.0,38575.604
1002274,2023.0,49083.294
1000687,2023.0,5196645.978
1010860,2023.0,31456.232
1001505,2023.0,10223192.838
1000780,2023.0,516749.84
1007976,2023.0,60270.9
1012985,2023.0,42002.338
1014658,2023.0,164061.092
1001041,2023.0,3988172.642
1001481,2023.0,1236592.13
1001167,2023.0,1760425.322
1001288,2023.0,298668.68
1010120,2023.0,69937.516
1012983,2023.0,112170.214
1000798,2023.0,1315735.424
1000114,2023.0,20842.372
1001299,2023.0,1012876.096
1006949,2023.0,1067502.25
1011682,2023.0,33612.724
1013673,2023.0,24679.6
1001343,2023.0,161540.096
1005892,2023.0,62554.75
1002169,2023.0,49169.638
1000870,2023.0,955560.872
1003303,2023.0,731487.652
1014902,2023.0,133611.904
1014325,2023.0,99176.9158
1000739,2023.0,105739.583
1004884,2023.0,123646.25
1000886,2023.0,1668140.098
1007427,2023.0,65475.854
1002733,2023.0,429603.51
1011850,2023.0,2405589.736
1001224,2023.0,78196.372
1008387,2023.0,1092629.25
1005351,2023.0,29764.688
1000174,2023.0,97732.513
1000831,2023.0,1570968.456
1011920,2023.0,110298.384
1010782,2023.0,103058.668
1010646,2023.0,31036.93
1013945,2023.0,50526.625
1010777,2023.0,66025.416
1012465,2023.0,140763.30607014633
1013656,2023.0,62607.33
1000917,2023.0,830800.578
1013924,2023.0,145924.378
1007402,2023.0,112309.328
1005022,2023.0,43635.336
1005019,2023.0,50713.76
1004599,2023.0,69493.288
1004821,2023.0,25550.704
1001553,2023.0,18574.58
1000743,2023.0,14353.292
1008965,2023.0,34451.584
1000206,2023.0,61368.376
1007102,2023.0,64896.584
1013665,2023.0,25740.32
1005893,2023.0,3903.5
1001500,2023.0,699120.96
1003620,2023.0,82394.5
1002748,2023.0,133123.198
1001535,2023.0,149323.204
1000419,2023.0,72289.932
1006435,2023.0,357660.6
1004791,2023.0,252514.108
1006201,2023.0,22941.548
1006980,2023.0,45627.398
1003599,2023.0,48171.968
1006307,2023.0,177038.456
1001864,2023.0,42039.944
1005658,2023.0,32644.528
1005657,2023.0,47678.272
1006836,2023.0,34373.92
1005659,2023.0,65761.752
1006761,2023.0,164102.332
1002474,2023.0,21134.47
1005363,2023.0,31730.056
1006500,2023.0,93891.362
1006499,2023.0,91427.794
